Azimuth,Inclination,MD
290,0,0
290,0,30
290,0,60
290,0,90
290,0,120
290,0,150
290,0,180
290,0,210
290,0,240
290,0,270
290,0,300
290,0,330
290,0,360
290,0,390
290,0,420
290,0,450
290,0,480
290,0,510
290,0,540
290,0,570
290,0,600
290,0,630
290,0,660
290,0,690
290,0,720
290,0,750
290,0,780
290,0,810
290,0,840
290,0,870
290,0,900
290,0,930
290,0,960
290,0,990
290,0,1020
290,2,1050
290,4,1080
290,6,1110
290,8,1140
290,10,1170
290,12,1200
290,14,1230
290,16,1260
290,18,1290
290,20,1320
290,22,1350
290,24,1380
290,26,1410
290,28,1440
290,30,1470
290,32,1500
290,34,1530
290,36,1560
290,38,1590
290,40,1620
290,42,1650
290,44,1680
290,46,1710
290,48,1740
290,50,1770
290,52,1800
290,54,1830
290,56,1860
290,58,1890
290,60,1920
290,62,1950
290,,1980
290,,2010
290,,2040
290,,2070
290,,2100
290,,2130
290,,2160
290,,2190
290,,2220
290,,2250
290,,2280
290,,2310
290,,2340
290,,2370
290,,2400
290,,2430
290,,2460
290,,2490
290,,2520
290,,2550
290,,2580
290,,2610
290,,2640
290,,2670
290,,2700
290,,2730
290,,2760
290,,2790
290,,2820
290,,2850
290,,2880
290,,2910
290,,2940
290,,2970
290,,3000
290,,3030
290,,3060
290,,3090
290,,3120
290,,3150
290,,3180
290,,3210
290,,3240
290,,3270
290,,3300
290,,3330
290,,3360
290,,3390
290,,3420
290,,3450
290,,3480
290,,3510
290,,3540
290,,3570
290,,3600
290,,3630
290,,3660
290,,3690
290,,3720
290,,3750
290,,3780
290,,3810
290,,3840
290,,3870
290,,3900
290,,3930
290,,3960
